,per,user_per,item_per
1,1957270.125,2689099.25,1509554.25
2,979805.25,816566,295419
3,726036.312,574116.812,118919.914
4,560762.938,559545.312,100031.492
5,532671.938,559322.75,100039.641
6,516515.531,559941.75,100081.094
7,518471.438,559133.375,100137.43
8,492455.719,560445.188,100511.453
9,428648.75,568482,101116.227
10,393193.688,562060.5,101658.227
11,375121.625,583200.75,103363.508
12,375121.625,617786.125,104203.391
13,362118.906,590991,105983.453
14,349869.094,575875.125,107655.57
15,348550.344,588883.625,109519.867
16,343027.406,577960.25,114765.031
17,339422.062,568184.688,113708.406
18,325767.062,584200.375,113812.484
